,store,sido,gungu,store_address,store_number
0,금촌2호점,경기,파주시,"경기 파주시 송화로 13 , 169동 113호",031-941-9289
1,현대캠퍼스몰점,경기,남양주시,경기 남양주시 다산순환로 20,031-869-3392
2,통진점,경기도,김포시,경기도 김포시 통진읍 서암로6번길 5-21,050-7744-8295
3,안정점,경상남도,통영시,경상남도 통영시 광도면 안정로 781,055-646-9852
4,백전점,경상남도,함양군,경상남도 함양군 백전면 구산대안로 2,0507-1386-8022
5,반지점,경상남도,창원시,경상남도 창원시 성산구 반지로32번길 19,055-237-9293
6,동읍점,경상남도,창원시,경상남도 창원시 의창구 동읍 용잠로 34,055-295-7999
7,정평점,경상북도,경산시,경상북도 경산시 대학로 64,0507-1375-2289
8,산격점,대구광역시,북구,대구광역시 북구 대동로1길 23,0507-1436-0252
9,동호점,대구광역시,동구,대구광역시 동구 동호로3길 20,053-964-9281
10,매천점,대구광역시,북구,대구광역시 북구 매전로 50-10,0507-1349-4860
11,고산점,대구광역시,수성구,대구광역시 수성구 달구벌대로641길 23,0507-1322-0999
12,봉화점,경상북도,봉화군,경상북도 봉화군 봉화읍 내성로1길 45-1,0507-1336-4401
13,장성점,전라남도,장성군,전라남도 장성군 장성읍 영천로 133-2,010-5496-2140
14,미장점,전라북도,군산시,전라북도 군산시 미장남로 36,0504-0999-1341
15,청당청수점,충청남도,천안시,충청남도 천안시 동남구 풍세로 932,041-567-4241
16,노은점,대전광역시,유성구,대전광역시 유성구 은구비남로33번길 5,042-710-8989
17,계룡대점,충청남도,계룡시,충청남도 계룡시 신도안면 신도안1길 61,0507-1409-9298
18,법흥점,강원도,영월군,강원도 영월군 무릉도원면 무릉법흥로 1145-10,0507-1437-1031
19,노원역점,서울특별시,노원구,서울특별시 노원구 동일로 1456,02-932-8288
20,가락점,서울특별시,송파구,서울특별시 송파구 송이로17길 54-27,02-400-7711
21,당수점,경기도,수원시,경기도 수원시 권선구 당진로15번길 56,031-501-9151
